"Obs","doby","male","_TYPE_","_PAGE_","_TABLE_","ncharts_aftertax_income_P50"
"1","1936-1945","1.Male",11,1,1,41016.47
"2","1946-1955","1.Male",11,1,1,45140.48
"3","1956-1965","1.Male",11,1,1,45562.15
"4","1966-1975","1.Male",11,1,1,49709.42
"5","1976-1985","1.Male",11,1,1,52387.62
"6","1986-1995","1.Male",11,1,1,56578.78
"7","1996-2005","1.Male",11,1,1,61509.23
"8","2006-2015","1.Male",11,1,1,68729.70
"9","1936-1945","2.Female",11,1,1,38973.54
"10","1946-1955","2.Female",11,1,1,44386.74
"11","1956-1965","2.Female",11,1,1,44568.54
"12","1966-1975","2.Female",11,1,1,47201.89
"13","1976-1985","2.Female",11,1,1,52012.37
"14","1986-1995","2.Female",11,1,1,56830.09
"15","1996-2005","2.Female",11,1,1,62709.58
"16","2006-2015","2.Female",11,1,1,67976.61

